"sgRNA","gene","plasmid","HT29_c905","HT29_c906","HT29_c907","HT29_c908","SW626_c905"
"A1BG_CCDS12976.1_ex3_19:58862927-58862950:-_5-1","A1BG",562,544.666666666667,576.333333333333,427.666666666667,403.666666666667,514.333333333333
"A1BG_CCDS12976.1_ex4_19:58863655-58863678:+_5-2","A1BG",405,337.555555555556,432.333333333333,246.333333333333,416.166666666667,311.333333333333
"A1BG_CCDS12976.1_ex4_19:58863697-58863720:-_5-3","A1BG",615,637.888888888889,803.166666666667,595,902,643
"A1BG_CCDS12976.1_ex4_19:58863866-58863889:+_5-4","A1BG",485,320.888888888889,360.5,202,249,304.666666666667
"A1BG_CCDS12976.1_ex5_19:58864367-58864390:-_5-5","A1BG",370,310.111111111111,334.333333333333,244,328.5,336.666666666667
"A1CF_CCDS7241.1_ex6_10:52588014-52588037:-_5-1","A1CF",272,266.444444444444,289.333333333333,182.333333333333,313.833333333333,191.333333333333
"A1CF_CCDS7241.1_ex7_10:52595962-52595985:-_5-2","A1CF",51,45.3333333333333,73,35.3333333333333,29.1666666666667,85.3333333333333
"A1CF_CCDS7241.1_ex7_10:52596023-52596046:+_5-3","A1CF",407,437.555555555556,616.5,368.333333333333,560.333333333333,424.333333333333
"A1CF_CCDS7241.1_ex9_10:52603761-52603784:+_5-4","A1CF",58,83.1111111111111,122.166666666667,103,58,30
"A1CF_CCDS7241.1_ex9_10:52603844-52603867:-_5-5","A1CF",257,315.444444444444,345.833333333333,227.666666666667,189.833333333333,189.333333333333
"A2M_CCDS44827.1_ex18_12:9246130-9246153:+_5-1","A2M",495,622.777777777778,679.166666666667,494.666666666667,728.5,510
"A2M_CCDS44827.1_ex22_12:9252012-9252035:+_5-2","A2M",282,395.111111111111,395,303.666666666667,353.833333333333,260
"A2M_CCDS44827.1_ex22_12:9252049-9252072:+_5-3","A2M",320,367.555555555556,385,280.333333333333,342.166666666667,269.333333333333
"A2M_CCDS44827.1_ex24_12:9254225-9254248:+_5-4","A2M",536,603.666666666667,635.833333333333,520,754.666666666667,430.666666666667
"A2M_CCDS44827.1_ex25_12:9256894-9256917:+_5-5","A2M",501,508,589.666666666667,383.666666666667,698.333333333333,330
"A2ML1_CCDS8596.2_ex10_12:8994081-8994104:-_5-3","A2ML1",187,381.444444444444,389.666666666667,187.666666666667,262.166666666667,260
"A2ML1_CCDS8596.2_ex11_12:8995845-8995868:-_5-4","A2ML1",537,683.777777777778,755.833333333333,485.666666666667,409.5,475
"A2ML1_CCDS8596.2_ex11_12:8995893-8995916:+_5-5","A2ML1",182,195.222222222222,238.333333333333,180.666666666667,149.166666666667,184.666666666667
"A2ML1_CCDS8596.2_ex2_12:8976351-8976374:+_5-1","A2ML1",519,596.888888888889,688.166666666667,516.666666666667,347.5,472
"A2ML1_CCDS8596.2_ex8_12:8990981-8991004:-_5-2","A2ML1",311,384.888888888889,461.166666666667,326,334.5,336.666666666667
"A3GALT2_CCDS60080.1_ex0_1:33772950-33772973:-_5-1","A3GALT2",539,540.111111111111,685.166666666667,407.666666666667,534,474.666666666667
"A3GALT2_CCDS60080.1_ex0_1:33772971-33772994:+_5-2","A3GALT2",345,356.888888888889,315.166666666667,258.333333333333,371.666666666667,227.333333333333
"A3GALT2_CCDS60080.1_ex0_1:33773046-33773069:-_5-3","A3GALT2",410,317,365.833333333333,270.333333333333,444.333333333333,327
"A3GALT2_CCDS60080.1_ex1_1:33777651-33777674:-_5-4","A3GALT2",403,384.777777777778,494,403.333333333333,315.833333333333,404
