"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"PTH2_CCDS12763.1_ex0_19:49925884-49925907:-_5-2","PTH2",-4.28222623487197,1.65416186154353,63.7928879422072,1.3821164321078e-15,1.22463808583344e-10
"RPS8_CCDS513.1_ex2_1:45242372-45242395:-_5-1","RPS8",-4.1533660763951,1.18689757647158,58.1911230661941,2.37849901036536e-14,1.05374641656217e-09
"HIST1H2AK_CCDS4632.1_ex0_6:27805983-27806006:-_5-4","HIST1H2AK",-3.36368455452694,2.10147315020361,54.8267270280836,1.31638376126655e-13,3.88798331835946e-09
"ABCE1_CCDS34071.1_ex3_4:146030281-146030304:+_5-3","ABCE1",-4.2793935169084,1.29090153786572,54.2444692861004,1.77034729543593e-13,3.9215848114849e-09
"SRP9_CCDS44323.1_ex2_1:225974567-225974590:+_4-2","SRP9",-5.47706244353826,0.590732903832739,53.4800144611199,2.61236969852964e-13,4.62943259015834e-09
"HIST1H2AJ_CCDS4628.1_ex0_6:27782384-27782407:-_4-3","HIST1H2AJ",-3.57958476720089,2.47315875498762,52.7504213417891,3.78742082955497e-13,5.59313683372579e-09
"TUBA1C_CCDS8782.1_ex2_12:49663731-49663754:-_5-3","TUBA1C",-3.34026616051661,1.93903754247158,50.1696614129953,1.41011159563379e-12,1.78491925775325e-08
"RGPD6_CCDS42729.1_ex10_2:111307151-111307174:-_1-1","RGPD6",-3.74072722438377,1.46782410178329,48.5579786289751,3.20667062739971e-12,3.55162822014223e-08
"IQCJ_CCDS46946.1_ex3_3:158980377-158980400:-_9-5","IQCJ",-4.05080962347966,0.892473259239969,47.8383098587141,4.62858707565397e-12,3.8483085661724e-08
"RPS3_CCDS58161.1_ex2_11:75112710-75112733:-_5-2","RPS3",-3.28660394432112,1.95171313838353,47.7388071443501,4.86956436981496e-12,3.8483085661724e-08
"RPL8_CCDS6433.1_ex4_8:146017403-146017426:-_5-5","RPL8",-3.67600987435062,1.26728337743406,47.6910483008972,4.98964766293976e-12,3.8483085661724e-08
"KAT8_CCDS10706.1_ex0_16:31129184-31129207:-_5-1","KAT8",-3.76823064546947,2.55448468728003,47.6056510066424,5.21180312778692e-12,3.8483085661724e-08
"RPL37A_CCDS2404.1_ex2_2:217364689-217364712:+_4-3","RPL37A",-3.60742024954993,1.46880428272158,46.40481917771,9.61786704973699e-12,6.55539021391535e-08
"HIST1H2BE_CCDS4588.1_ex0_6:26184161-26184184:+_3-2","HIST1H2BE",-5.37483914415062,0.708335705898242,45.9710093037628,1.20015925270933e-11,7.59580791039732e-08
"PSMB2_CCDS394.1_ex2_1:36074935-36074958:+_5-2","PSMB2",-3.49375649749048,2.03788059184532,45.4763767829052,1.54490943560558e-11,9.12588303008452e-08
"SF1_CCDS31599.1_ex7_11:64537023-64537046:-_5-2","SF1",-4.5152783406258,0.176734229030668,45.2143572549656,1.76605621314067e-11,9.32962097613896e-08
"RPL15_CCDS2640.1_ex1_3:23959941-23959964:+_5-3","RPL15",-3.61425539952685,1.72308740099873,45.1879986075691,1.78998664418168e-11,9.32962097613896e-08
"HIST1H2BF_CCDS4592.1_ex0_6:26199935-26199958:-_3-1","HIST1H2BF",-3.41748412767106,1.98634350777285,45.0663306125049,1.90472223036928e-11,9.37610099689448e-08
"HIST1H2BJ_CCDS4618.1_ex0_6:27100302-27100325:-_4-1","HIST1H2BJ",-4.26149114555167,0.907141444037844,44.8575424554735,2.11903063822048e-11,9.88204361737705e-08
"SF3A3_CCDS428.1_ex15_1:38455218-38455241:+_5-5","SF3A3",-3.77986268439193,1.6850162710238,44.455435239902,2.602135451539e-11,1.15282406909532e-07
"HIST1H2AL_CCDS4634.1_ex0_6:27833302-27833325:+_5-4","HIST1H2AL",-4.46950423649923,0.890829891474146,44.3280511318822,2.77708244648723e-11,1.17174365358785e-07
"HIST1H2BD_CCDS4587.1_ex0_6:26158535-26158558:+_5-2","HIST1H2BD",-5.72164895309806,0.31418113737585,44.0343222335907,3.22667981723716e-11,1.29955996311871e-07
"SPRR2G_CCDS30868.1_ex0_1:153122429-153122452:-_4-2","SPRR2G",-2.66328421828045,2.58000863118706,43.4974483483907,4.24512571880571e-11,1.63540699756738e-07
"HIST1H2BH_CCDS4601.1_ex0_6:26252082-26252105:+_4-4","HIST1H2BH",-3.93843257944389,1.5784721684468,43.0211381810626,5.41516095543849e-11,1.99923229840659e-07
"RPLP0_CCDS9193.1_ex4_12:120636986-120637009:-_5-4","RPLP0",-2.97617103829062,2.0671786882801,42.7320720129537,6.27745786357882e-11,2.22488172584106e-07
"FCF1_CCDS9832.1_ex3_14:75182796-75182819:-_5-3","FCF1",-6.56828539307155,-3.9954168270663,42.5816352716508,6.77929043153733e-11,2.31033003067999e-07
