"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"SRSF2_CCDS11749.1_ex1_17:74733047-74733070:+_5-4","SRSF2",-5.38816014977264,1.22258954573248,177.411608072214,1.78071109234798e-40,1.79048719624497e-35
"SNRNP200_CCDS2020.1_ex27_2:96957159-96957182:+_5-1","SNRNP200",-4.87339808592038,1.50671392912175,172.669704676097,1.93242329313908e-39,9.71516148509207e-35
"ISCU_CCDS44966.1_ex1_12:108958126-108958149:+_5-2","ISCU",-4.27932568648706,1.71327028813646,170.211517072872,6.65225997515884e-39,2.22959362747415e-34
"HIST1H2BE_CCDS4588.1_ex0_6:26184161-26184184:+_3-2","HIST1H2BE",-5.92388260869431,1.54474863265741,168.082709234259,1.94059770710815e-38,4.87812897130043e-34
"sgPOLR2J_7","POLR2J_LS",-4.41212444051381,2.9561793085946,156.518633486623,6.521325638531e-36,9.36732530898076e-32
"sgPOLR2J2_5","POLR2J2_LS",-4.41212444051381,2.9561793085946,156.518633486623,6.521325638531e-36,9.36732530898076e-32
"sgPOLR2J3_4","POLR2J3_LS",-4.41212444051381,2.9561793085946,156.518633486623,6.521325638531e-36,9.36732530898076e-32
"PSMB5_CCDS45084.1_ex2_14:23502829-23502852:+_10-7","PSMB5",-4.75500578462865,1.34067084219675,153.126424897569,3.59453736789006e-35,4.43570616592431e-31
"sgPLK1_6","PLK1_LS",-5.87885898249434,0.604072640270352,152.928827733558,3.97033839156221e-35,4.43570616592431e-31
"sgPSMA1_3","PSMA1_LS",-5.05964663571609,1.03374458304593,148.606716148087,3.49548633339409e-34,3.51467655336442e-30
"sgSUPT7L_2","SUPT7L_LS",-4.34830441213062,1.30193451451094,147.197035157681,7.10654560757702e-34,6.49596412996601e-30
"PUF60_CCDS47933.1_ex5_8:144900425-144900448:+_5-4","PUF60",-6.55035574625456,1.03465817523453,146.5117041074,1.00340511875101e-33,8.40761510710792e-30
"PSMD8_CCDS12515.2_ex2_19:38867041-38867064:-_5-5","PSMD8",-4.83708981707511,1.05834160438284,144.924070889338,2.23131544091339e-33,1.72581950975693e-29
"HIST1H2BC_CCDS4584.1_ex0_6:26123971-26123994:-_4-3","HIST1H2BC",-5.78747570434152,1.15872458285694,144.176795654922,3.25040354843208e-33,2.33446304565213e-29
"sgSRSF2_4","SRSF2_LS",-7.2176153736576,-0.179637741429883,143.104897556087,5.57565147680364e-33,3.73750786894086e-29
"PSMB6_CCDS11056.1_ex1_17:4700035-4700058:-_5-1","PSMB6",-4.34664039864673,1.50499258426835,142.685583766982,6.88615874608838e-33,4.32747734850275e-29
"HIST1H2BG_CCDS4594.1_ex0_6:26216710-26216733:-_5-3","HIST1H2BG",-5.45529285782395,0.670009944218823,142.244769808576,8.59728536689286e-33,4.978770987418e-29
"EIF2B4_CCDS33164.1_ex6_2:27590961-27590984:+_5-3","EIF2B4",-3.4218221962029,2.382721202083,142.173169942954,8.9128561968318e-33,4.978770987418e-29
"RPL37A_CCDS2404.1_ex2_2:217364689-217364712:+_4-3","RPL37A",-4.49344467629661,1.43595036955506,141.755038094749,1.1001298282527e-32,5.82194495268318e-29
"sgSNRPD2_5","SNRPD2_LS",-5.12352234544857,0.99085353380493,139.621654000492,3.22069828118067e-32,1.61918995737218e-28
"UBL5_CCDS12219.1_ex1_19:9939320-9939343:-_3-2","UBL5",-5.09400615930614,0.768295792139417,139.271714587086,3.84127852629826e-32,1.83922245019411e-28
"sgPCNA_10","PCNA_LS",-4.64493186578633,1.32852278987361,134.607507174985,4.02335250690668e-31,1.83883668734982e-27
"THOC2_CCDS43988.1_ex23_X:122778505-122778528:-_5-2","THOC2",-3.31666818684654,2.00657143423494,132.446182971518,1.19502725389208e-30,5.22429545006932e-27
"NUF2_CCDS1245.1_ex5_1:163307832-163307855:+_5-3","NUF2",-4.77835658574094,1.15183594337117,132.260963590653,1.31188915543458e-30,5.49621427874131e-27
"PSMB3_CCDS11328.1_ex2_17:36912198-36912221:+_5-4","PSMB3",-4.86269823325214,1.10700570437661,131.829069498737,1.63072837743997e-30,6.13979082279543e-27
"RPL8_CCDS6433.1_ex3_8:146017182-146017205:+_5-3","RPL8",-4.16866247294263,1.59899036792255,131.818114197032,1.63975258606493e-30,6.13979082279543e-27
"PSMB2_CCDS394.1_ex3_1:36096908-36096931:+_5-4","PSMB2",-3.85946663389759,1.63390275412002,131.807320882048,1.64869220196597e-30,6.13979082279543e-27
"PSMB5_CCDS45084.1_ex2_14:23502847-23502870:-_10-8","PSMB5",-4.1331711323863,1.57685858973931,131.433540095319,1.99027313487376e-30,7.14714190851505e-27
"sgNHP2L1_7","NHP2L1_LS",-4.76921042693027,0.962728484525784,131.272154308181,2.15883793065634e-30,7.48513776170913e-27
"sgPLRG1_6","PLRG1_LS",-5.19495722818545,0.659468205370311,130.82057647085,2.71029267368129e-30,9.08390726819935e-27
"sgPOLR2J3_7","POLR2J3_LS",-4.42302796305687,1.42882841803034,130.169977057045,3.76147936419486e-30,1.2200418986788e-26
"HCFC1_CCDS44020.1_ex25_X:153236130-153236153:-_5-5","HCFC1",-4.77505521337642,1.97496649580418,129.789877598102,4.55535072991103e-30,1.4313623766932e-26
"sgRPS5_4","RPS5_LS",-3.6440916243638,1.86279199093826,129.606307476177,4.99673528256336e-30,1.52247495735292e-26
"PSMB4_CCDS996.1_ex1_1:151372608-151372631:-_5-4","PSMB4",-5.35375204556605,0.930393598229355,129.090461384429,6.47968643085433e-30,1.91625291451756e-26
"HNRNPC_CCDS41915.1_ex6_14:21702122-21702145:-_6-5","HNRNPC",-5.07577127855661,1.25980712171628,128.941408214379,6.98501913262352e-30,2.00667625361761e-26
"sgPSMA1_1","PSMA1_LS",-4.29015673487305,1.06751200069968,128.237122050736,9.96031109069116e-30,2.77358596094668e-26
"RRM2_CCDS1669.1_ex2_2:10263587-10263610:-_5-2","RRM2",-5.45015560009009,0.58975496906277,128.188712780995,1.02062358208463e-29,2.77358596094668e-26
"HMGCS1_CCDS34154.1_ex7_5:43298204-43298227:+_5-3","HMGCS1",-4.55385078754174,0.874897304323511,127.316279912732,1.58406338647531e-29,4.19147340649225e-26
"sgPHF5A_10","PHF5A_LS",-5.11959529856136,0.852865615249635,126.672361067655,2.19120040557113e-29,5.64930793794287e-26
"PRPF8_CCDS11010.1_ex30_17:1581846-1581869:-_5-4","PRPF8",-4.12985483478286,1.33571273874734,125.921049722443,3.19962705139458e-29,8.04298250976683e-26
"sgEIF4A3_4","EIF4A3_LS",-5.50171272212018,0.182023741470416,125.406158469311,4.14746454736317e-29,1.01713027505566e-25
"LSM4_CCDS12374.1_ex2_19:18423469-18423492:-_6-6","LSM4",-4.09644317936808,1.23341199842398,125.235899978327,4.51902064112321e-29,1.08186430105785e-25
"DDX24_CCDS9918.1_ex6_14:94528511-94528534:-_5-1","DDX24",-3.39700191977251,1.87298542023172,125.137387050292,4.74902425772599e-29,1.11048753509323e-25
"CCT3_CCDS1140.2_ex8_1:156294799-156294822:-_5-4","CCT3",-4.33806136730687,1.43792163735342,124.009266996638,8.38510762991446e-29,1.91616860700061e-25
"U2AF2_CCDS12933.1_ex6_19:56174973-56174996:-_5-5","U2AF2",-4.94362643586386,1.53583076670248,123.909653860222,8.81680324918267e-29,1.97004611089348e-25
"sgGINS1_2","GINS1_LS",-4.84730081405664,0.584323637001273,123.68252052193,9.88609420340437e-29,2.16094975230023e-25
"RPL15_CCDS2640.1_ex0_3:23959478-23959501:-_5-1","RPL15",-3.81953769991474,1.74383500475405,123.031235972378,1.37270741954863e-28,2.93668847506798e-25
"sgPLK1_9","PLK1_LS",-4.52454463916117,1.1890268444845,122.955907696752,1.42582498949794e-28,2.98677660143809e-25
"EIF4A3_CCDS11767.1_ex9_17:78115629-78115652:-_5-3","EIF4A3",-4.44257807149717,1.40347910949614,122.041542116719,2.26054729523783e-28,4.6386891834463e-25
"sgMED22_10","MED22_LS",-3.60785617173391,1.76160963586732,121.658794880438,2.74155795074524e-28,5.51321820778965e-25
"SF3B5_CCDS5204.1_ex0_6:144416504-144416527:+_5-3","SF3B5",-4.90429718334628,1.51738809585809,121.550681916584,2.89510197424342e-28,5.70783545898435e-25
"TUBA1C_CCDS8782.1_ex2_12:49663731-49663754:-_5-3","TUBA1C",-3.97453748181694,1.86088073296301,121.177868837658,3.49362009102632e-28,6.75538474101165e-25
"sgLSM6_4","LSM6_LS",-4.50487171221481,1.04342548117178,119.969590000443,6.42379208397906e-28,1.21869032123021e-24
"sgRPS15A_7","RPS15A_LS",-5.62993806063549,-0.165187841798277,119.218304221235,9.38152226708504e-28,1.74685681932062e-24
"EIF2S2_CCDS13231.1_ex3_20:32684507-32684530:-_5-1","EIF2S2",-3.52119029343338,1.91640926941081,119.044849607867,1.02388120580199e-27,1.87182238840334e-24
"SRSF2_CCDS11749.1_ex1_17:74732974-74732997:+_5-2","SRSF2",-3.15619160469093,2.72247494038583,118.885963618463,1.10926818508872e-27,1.99171083468724e-24
"PSMC4_CCDS12547.1_ex4_19:40480444-40480467:+_5-3","PSMC4",-3.83617290783274,1.68695832103164,118.820693247703,1.14637620023014e-27,2.02222772906913e-24
"sgRPS9_8","RPS9_LS",-4.56237351614851,1.03403390636604,118.730204666055,1.19988400652202e-27,2.08012305123762e-24
"RPL11_CCDS238.1_ex1_1:24019204-24019227:+_5-1","RPL11",-4.58516024534484,1.08492929789071,118.39584762054,1.42018992602542e-27,2.42031655715136e-24
"SBDS_CCDS5537.1_ex4_7:66460279-66460302:-_5-4","SBDS",-3.41245807531566,2.38797860798964,118.313955290109,1.48005185748504e-27,2.48029557030439e-24
"SRP54_CCDS53893.1_ex6_14:35482574-35482597:+_5-4","SRP54",-4.60929362851758,1.7458320818054,117.529035664963,2.19857825251049e-27,3.62401384773242e-24
"EEF2_CCDS12117.1_ex12_19:3983131-3983154:+_5-4","EEF2",-3.9145731198598,1.83223910066745,116.479037522271,3.73304183468898e-27,6.05409070058294e-24
"PSMB5_CCDS45083.1_ex0_14:23495533-23495556:+_10-2","PSMB5",-4.75543172601686,0.381160781904752,115.15200186263,7.28906640473093e-27,1.16334656814173e-23
"EIF3I_CCDS357.1_ex4_1:32691797-32691820:+_5-1","EIF3I",-3.42699402944985,2.40301493843457,114.704213515504,9.13565836432491e-27,1.43528330136641e-23
"sgRPL8_7","RPL8_LS",-4.64271552796271,0.959137821199374,114.260860826034,1.1424560864181e-26,1.7672741082039e-23
"GINS1_CCDS33451.1_ex3_20:25398746-25398769:-_5-3","GINS1",-4.24351590969232,1.24267657129825,114.160157102348,1.20197463659631e-26,1.83117193538065e-23
"sgEFTUD2_5","EFTUD2_LS",-4.04996544090364,1.24933465578741,114.02705486493,1.285426220824e-26,1.92907941906914e-23
"RPS28_CCDS45953.1_ex2_19:8386832-8386855:+_2-1","RPS28",-4.55904014980924,1.1554194231713,112.291823827219,3.08404893961945e-26,4.560265247497e-23
"sgPOLR2L_4","POLR2L_LS",-4.23817198153428,0.80043091603319,112.156560087648,3.30179927009115e-26,4.81148717113616e-23
"WARS_CCDS9960.1_ex7_14:100826922-100826945:+_5-5","WARS",-2.62566616135034,2.54704654694914,111.52027150077,4.55127674255892e-26,6.53751893125081e-23
"PHF5A_CCDS14016.1_ex1_22:41863557-41863580:+_5-5","PHF5A",-4.09465163537985,1.34919596491608,111.055943873872,5.75242700714314e-26,8.14605705469898e-23
"TUT1_CCDS8021.2_ex3_11:62344678-62344701:+_5-1","TUT1",-3.89180391921251,2.01026708799347,111.028322118335,5.83313715639466e-26,8.14605705469898e-23
"POLR2C_CCDS10782.1_ex1_16:57496940-57496963:+_5-1","POLR2C",-4.3249338975548,1.01210102977126,110.927071118416,6.1387968191129e-26,8.45547782691757e-23
"sgPLK1_8","PLK1_LS",-4.3962230785932,0.738983937063586,110.879081526671,6.28921450294531e-26,8.5455976899547e-23
"RPL23_CCDS11330.1_ex2_17:37008895-37008918:-_5-3","RPL23",-4.03026803646565,1.13209137943527,110.793521911624,6.56659407970288e-26,8.8035262416006e-23
"sgSTK3_7","STK3_LS",-5.18827326062656,0.731560090368763,110.667096159257,6.99901319981121e-26,9.25978655562918e-23
"PSMA2_CCDS5467.1_ex5_7:42966146-42966169:-_5-3","PSMA2",-4.7796118395757,0.843398901201805,110.639896225072,7.0957067168843e-26,9.2657949957922e-23
"VCP_CCDS6573.1_ex7_9:35061671-35061694:-_5-1","VCP",-3.95670299236509,1.38051300306246,110.34542276805,8.23205841209448e-26,1.06118620676627e-22
"U2AF1_CCDS13694.1_ex3_21:44515542-44515565:-_5-5","U2AF1",-5.06309045955602,1.36434713180755,110.277878802118,8.51738111948066e-26,1.0840685495983e-22
"sgPOLI_1","POLI_LS",-4.85110152514317,1.10651647367246,110.064391387353,9.48588278652364e-26,1.19224503537771e-22
"sgNUF2_5","NUF2_LS",-4.7213650233969,0.688391459504978,109.798776345539,1.08460314005595e-25,1.34636742135167e-22
"HINFP_CCDS58188.1_ex1_11:119001527-119001550:+_5-3","HINFP",-3.82048248523934,1.48763404965283,109.435672536521,1.3026405097799e-25,1.59730732460804e-22
"sgSNRPD1_1","SNRPD1_LS",-6.14559734670911,0.104475481640058,109.055658137561,1.57792289282023e-25,1.91154902349616e-22
"CDC6_CCDS11365.1_ex2_17:38447888-38447911:-_5-4","CDC6",-4.00966743369744,1.41055561296337,108.772375863236,1.82034879411146e-25,2.1789791773704e-22
"sgRPL32_6","RPL32_LS",-4.69838401321365,0.515832672108762,108.691969170975,1.89571241531474e-25,2.24249397232331e-22
"CDC7_CCDS734.1_ex3_1:91977220-91977243:-_5-2","CDC7",-5.28132546219984,0.892320631751985,108.234199621569,2.38823002100346e-25,2.76118482118849e-22
"sgPOLR2B_5","POLR2B_LS",-4.8542310919492,0.0107010765882215,108.227219109429,2.39665603933601e-25,2.76118482118849e-22
"sgRPL12_10","RPL12_LS",-4.77686428677431,0.829239290685738,108.210813891043,2.41657564236926e-25,2.76118482118849e-22
"PSMB2_CCDS394.1_ex2_1:36074935-36074958:+_5-2","PSMB2",-3.88262272122241,1.62124321131372,107.977224812874,2.7188457098335e-25,3.07165412671964e-22
"VCP_CCDS6573.1_ex14_9:35067898-35067921:-_5-5","VCP",-3.9156176631752,1.2753197047991,107.492590866117,3.47200991812981e-25,3.84647237453564e-22
"sgSEC13_2","SEC13_LS",-3.80059958172178,1.22224717834543,107.487364335914,3.48117819255033e-25,3.84647237453564e-22
"sgPSMB3_3","PSMB3_LS",-4.17712006613913,1.09082012054052,107.187802011927,4.04921289611224e-25,4.42548160316511e-22
"POLA2_CCDS8098.1_ex6_11:65047027-65047050:+_5-4","POLA2",-3.80586165139025,1.35953682713646,106.961166456244,4.53978520148624e-25,4.90828884112086e-22
"sgEIF4A3_3","EIF4A3_LS",-4.23382785781094,0.793890712080642,106.701596532255,5.17509539236001e-25,5.53564538942986e-22
"sgRUVBL2_5","RUVBL2_LS",-3.82910071916903,1.25799423879222,106.636175185711,5.34878592041669e-25,5.66121132117871e-22
"TUT1_CCDS8021.2_ex7_11:62356627-62356650:+_5-3","TUT1",-3.98466143232437,1.24683869591758,106.603981134211,5.43638815360818e-25,5.69399367142863e-22
"sgKAT5_4","KAT5_LS",-3.71269226831329,1.55679476875401,106.425573098326,5.94851353464527e-25,6.10951916117942e-22
"POLR2L_CCDS7720.1_ex0_11:840443-840466:+_4-2","POLR2L",-3.71844590312117,1.64707946943142,106.423533877999,5.9546378163441e-25,6.10951916117942e-22
"PSMD3_CCDS11356.1_ex3_17:38145012-38145035:+_5-5","PSMD3",-4.3743239997182,0.502607435210199,106.15076886264,6.83333580232056e-25,6.94025334936899e-22
"SLMO2_CCDS42893.1_ex4_20:57613618-57613641:+_5-5","SLMO2",-4.32102220850904,0.780567523021262,105.89888455921,7.75952831460985e-25,7.80212812505706e-22
"sgSNRPD1_8","SNRPD1_LS",-4.36028935980137,0.693362649360577,105.847518161113,7.9632957386714e-25,7.9277368636403e-22
"PSMD11_CCDS11272.1_ex5_17:30796193-30796216:-_5-5","PSMD11",-3.86325465425541,1.71729504548815,105.687115552904,8.63469882119356e-25,8.51186599776658e-22
"sgSRSF1_4","SRSF1_LS",-4.48785204245453,0.738465433398612,105.666451071743,8.72521470967314e-25,8.51758848391189e-22
"sgPOLR2A_9","POLR2A_LS",-5.14565578636533,0.811101933364406,105.547728495628,9.26394780510097e-25,8.87451443041071e-22
"sgNUP133_9","NUP133_LS",-4.48556332804419,0.37069928875177,105.546998260024,9.26736233272458e-25,8.87451443041071e-22
"sgACTR5_4","ACTR5_LS",-3.78450165581372,1.25072688826726,105.248005363775,1.07767165864628e-24,1.02225290193608e-21
"HIST1H2AL_CCDS4634.1_ex0_6:27833302-27833325:+_5-4","HIST1H2AL",-4.28643420834986,1.78144540007193,105.115376842147,1.15227254833855e-24,1.08280235946628e-21
"sgPSMD14_4","PSMD14_LS",-4.75173787011432,0.260080681601051,104.835393222001,1.32715456391243e-24,1.22201677947514e-21
"KPNB1_CCDS11513.1_ex9_17:45745679-45745702:+_5-3","KPNB1",-3.12031621623923,2.14417729359463,104.832608110158,1.32902132035657e-24,1.22201677947514e-21
"sgPKMYT1_3","PKMYT1_LS",-5.37454970693712,0.827261894266237,104.814573649215,1.34117287008756e-24,1.22201677947514e-21
"CDK1_CCDS44408.1_ex4_10:62551732-62551755:-_5-5","CDK1",-5.64256223049088,-0.0954387866776469,104.802995871153,1.34903243713752e-24,1.22201677947514e-21
"sgRPL18_4","RPL18_LS",-4.51444258383636,0.459019429867985,104.744903702651,1.38916920886945e-24,1.24713906055906e-21
"RPL19_CCDS42312.1_ex3_17:37359231-37359254:+_5-4","RPL19",-4.25666900704765,1.1724858154263,104.667604968612,1.44443411668828e-24,1.28527792919372e-21
"HIST1H2AD_CCDS4591.1_ex0_6:26199260-26199283:+_4-1","HIST1H2AD",-3.43323760552535,1.6816521871292,104.645377934551,1.46072866803659e-24,1.28837549861764e-21
"sgPSMC3_1","PSMC3_LS",-4.79794725356193,0.205300364957518,104.410001362304,1.64498129225128e-24,1.42914505633623e-21
"sgEIF4A3_8","EIF4A3_LS",-5.35117116161156,0.170502338508613,104.405459247193,1.6487565916618e-24,1.42914505633623e-21
"sgU2AF1_10","U2AF1_LS",-4.83192480218642,0.660010271455707,104.308674373984,1.73129397328747e-24,1.48786220273574e-21
"RAN_CCDS9271.1_ex2_12:131357636-131357659:+_5-2","RAN",-5.06146958260039,0.709533264520201,104.264066480307,1.77071424163834e-24,1.5088436125635e-21
"RUVBL1_CCDS3047.1_ex7_3:127823752-127823775:-_5-4","RUVBL1",-3.67316343463742,1.71942391108233,104.01249244315,2.01044429252624e-24,1.69872406024555e-21
"sgSNRPD3_2","SNRPD3_LS",-4.13810961169423,0.863067862431166,103.878262697942,2.15136908037391e-24,1.80265008052097e-21
"PSMB5_CCDS45084.1_ex2_14:23502872-23502895:-_10-9","PSMB5",-4.60020862175966,1.26518692223537,103.803264264503,2.23436733811848e-24,1.85672232628491e-21
"sgRRM1_6","RRM1_LS",-5.46242864644659,0.152847765549731,103.585916680066,2.49343337371624e-24,2.05501829749011e-21
"sgPOLR2B_3","POLR2B_LS",-3.77159531319928,1.04110633517176,103.479660515181,2.63081160830142e-24,2.15061362929349e-21
"KIF23_CCDS32278.1_ex11_15:69728064-69728087:+_5-5","KIF23",-3.72387998997731,1.5159654953443,103.254447220104,2.9475322761843e-24,2.39009211966173e-21
"NHP2L1_CCDS14022.1_ex0_22:42071178-42071201:-_5-3","NHP2L1",-5.09269952254712,0.139258715054994,103.197696551928,3.03318565436156e-24,2.43987027488321e-21
"ATP6V1A_CCDS2976.1_ex3_3:113503539-113503562:+_5-4","ATP6V1A",-4.24837598071969,0.656204956784708,103.165027650804,3.08361702701921e-24,2.46075086071234e-21
"PSMB5_CCDS45083.1_ex0_14:23495487-23495510:-_10-1","PSMB5",-3.99949492340979,1.18882209500333,102.60866534305,4.08343282604942e-24,3.2329534427279e-21
"sgPOLR2L_2","POLR2L_LS",-3.89102703519299,1.23645788792398,102.561335809836,4.18216548898717e-24,3.28525435743884e-21
"ERH_CCDS9794.1_ex2_14:69861544-69861567:-_5-5","ERH",-4.33906429858586,1.01961499640842,102.400799554536,4.53518537314397e-24,3.5101622301703e-21
"PSMC6_CCDS9710.2_ex3_14:53175512-53175535:+_5-1","PSMC6",-3.15527841261432,1.78843807992277,102.399441417187,4.53829565606957e-24,3.5101622301703e-21
"sgCLP1_6","CLP1_LS",-4.78185545117244,0.95761606571114,102.339373693576,4.67801237635166e-24,3.59060661396781e-21
"sgRPL9_7","RPL9_LS",-4.4605429088197,0.869275754994743,101.709306836831,6.4297574500009e-24,4.89777031697076e-21
"sgRPL37_2","RPL37_LS",-4.10107105315652,1.5697375066609,101.522215742854,7.06664380218493e-24,5.34243584711197e-21
"CCT4_CCDS33206.1_ex13_2:62115514-62115537:-_5-5","CCT4",-3.26090305838658,1.88919307221123,101.260404120794,8.06519805468253e-24,6.05184775522592e-21
"HIST1H2BH_CCDS4601.1_ex0_6:26252082-26252105:+_4-4","HIST1H2BH",-3.82346355357534,1.48736956192094,100.77275645057,1.03165585216327e-23,7.68384920586403e-21
"MAT2A_CCDS1977.1_ex5_2:85769283-85769306:+_5-4","MAT2A",-3.37962868516208,1.61125444801931,100.645387848347,1.10017561670794e-23,8.13393809443874e-21
