sgRNA	gene	CRISPR_C6976460.sample	ERS717283.plasmid
CNST_CCDS1628.1_ex3_1:246797289-246797312:+_5-3	CNST	589	184
GJC3_CCDS34697.1_ex1_7:99526769-99526792:+_5-2	GJC3	283	433
RASSF1_CCDS2820.1_ex2_3:50369085-50369108:-_5-2	RASSF1	293	354
ANKRD36_CCDS54379.1_ex19_2:97830184-97830207:+_5-5	ANKRD36	94	175
EIF5AL1_CCDS53546.1_ex0_10:81272561-81272584:+_5-3	EIF5AL1	331	524
CAPN5_CCDS8248.1_ex4_11:76826469-76826492:-_5-4	CAPN5	1478	708
NR2F2_CCDS10375.1_ex1_15:96877560-96877583:-_5-4	NR2F2	2287	1173
MXRA5_CCDS14124.1_ex2_X:3240267-3240290:+_5-1	MXRA5	507	354
COG2_CCDS1584.1_ex6_1:230805210-230805233:-_5-5	COG2	496	610
CDON_CCDS58192.1_ex14_11:125887060-125887083:-_5-4	CDON	1235	706
TRPM8_CCDS33407.1_ex3_2:234847802-234847825:+_5-2	TRPM8	92	578
NR4A2_CCDS2201.1_ex5_2:157186254-157186277:+_5-3	NR4A2	656	540
MAPK15_CCDS6409.2_ex5_8:144801257-144801280:-_5-4	MAPK15	588	542
LAMTOR3_CCDS3652.1_ex2_4:100806792-100806815:-_5-5	LAMTOR3	486	402
ALDH1L1_CCDS3034.1_ex21_3:125879694-125879717:-_5-5	ALDH1L1	462	267
LYPD6B_CCDS46423.1_ex3_2:150064854-150064877:+_5-4	LYPD6B	179	195
FIBP_CCDS8118.1_ex8_11:65655403-65655426:-_5-3	FIBP	404	408
LCMT1_CCDS45445.1_ex2_16:25143717-25143740:-_5-3	LCMT1	24	113
TMPRSS11F_CCDS3520.1_ex5_4:68938036-68938059:+_5-2	TMPRSS11F	153	50
PPAP2C_CCDS12023.1_ex1_19:282291-282314:+_5-1	PPAP2C	521	484
TMEM209_CCDS47712.1_ex10_7:129841811-129841834:+_5-4	TMEM209	28	24
C15orf52_CCDS10055.2_ex5_15:40630025-40630048:-_5-1	C15orf52	152	433
C1QTNF3_CCDS34141.1_ex4_5:34035786-34035809:-_5-3	C1QTNF3	1702	566
KSR2_CCDS61250.1_ex16_12:118199100-118199123:-_5-3	KSR2	2120	786
TMED10_CCDS9840.1_ex4_14:75643143-75643166:-_5-5	TMED10	534	944
MICA_CCDS56412.1_ex1_6:31378499-31378522:+_5-2	MICA	803	349
CHI3L2_CCDS30802.1_ex5_1:111778358-111778381:+_5-2	CHI3L2	133	107
MAP7_CCDS5178.1_ex11_6:136698934-136698957:+_5-5	MAP7	352	775
NOLC1_CCDS65925.1_ex0_10:103912260-103912283:+_5-1	NOLC1	172	322
ETV5_CCDS33906.1_ex5_3:185783603-185783626:+_5-1	ETV5	386	422
MCM4_CCDS6143.1_ex4_8:48875397-48875420:+_5-4	MCM4	17	402
SSX2_CCDS14344.1_ex4_X:52734214-52734237:+_5-5	SSX2	311	472
DDA1_CCDS12357.1_ex3_19:17426782-17426805:+_5-5	DDA1	112	174
CCDC97_CCDS12578.1_ex2_19:41825518-41825541:-_5-5	CCDC97	153	355
HMBS_CCDS41726.1_ex6_11:118960938-118960961:+_5-3	HMBS	436	589
