"gene","n_cell_lines_essential"
"HIST1H4I (8294)",9
"OCM (654231)",9
"RARRES3 (5920)",9
"ZNF611 (81856)",9
"MGST1 (4257)",8
"OR5D14 (219436)",7
"PRRC1 (133619)",7
"TBC1D19 (55296)",7
"TRHR (7201)",7
"VAMP5 (10791)",7
"CYB5D1 (124637)",6
"GLYATL2 (219970)",6
"GUCY2F (2986)",6
"IGFL1 (374918)",6
"BID (637)",5
"BIN3 (55909)",5
"CATIP (375307)",5
"CLPSL1 (340204)",5
"CYP2R1 (120227)",5
"CYTL1 (54360)",5
"DSC2 (1824)",5
"FAM181B (220382)",5
"LSR (51599)",5
"MCM6 (4175)",5
"MCUB (55013)",5
"NKX2-2 (4821)",5
"PPEF1 (5475)",5
"RPRML (388394)",5
"SYNJ2 (8871)",5
"TBX3 (6926)",5
"TRIM4 (89122)",5
"TTC23 (64927)",5
"ZNF429 (353088)",5
