Samples	baseline	RKO	SW403	LS180	CL11	GP5d	C2BBE1	SW48	SW948	HT115
Avana4pDNA20160601311cas9_RepG09_batch2	1	1	1	1	0	0	0	0	0	0
Avana4pDNA20160601311cas9_RepG10_batch2	1	1	1	1	0	0	0	0	0	0
Avana4pDNA20160601311cas9_RepG11_batch2	1	1	1	1	0	0	0	0	0	0
Avana4pDNA20160601311cas9_RepG12_batch2	1	1	1	1	0	0	0	0	0	0
Avana_4_Hu_pDNA_MAA40_93015_02pguL_batch3	1	0	0	0	1	1	1	1	1	1
Avana_4_Hu_pDNA_MAA40_93015_02pguL_v2_batch3	1	0	0	0	1	1	1	1	1	1
Avana_4_Hu_pDNA_MAA40_93015_batch3	1	0	0	0	1	1	1	1	1	1
Avana_4_Hu_pDNA_MAF34_112718_02pguL_batch3	1	0	0	0	1	1	1	1	1	1
RKO311Cas9_RepA_p6_batch2	0	1	0	0	0	0	0	0	0	0
RKO311Cas9_RepB_p6_batch2	0	1	0	0	0	0	0	0	0	0
RKO311Cas9_RepC_p6_batch2	0	1	0	0	0	0	0	0	0	0
SW403311Cas9_RepB_p5_batch2	0	0	1	0	0	0	0	0	0	0
LS_180311Cas9_Rep_A_p4_batch2	0	0	0	1	0	0	0	0	0	0
LS_180311Cas9_Rep_B_p4_batch2	0	0	0	1	0	0	0	0	0	0
CL11311Cas9_RepB_p6_batch3	0	0	0	0	1	0	0	0	0	0
GP5d311Cas9_RepA_p6_batch3	0	0	0	0	0	1	0	0	0	0
GP5d311Cas9_RepB_p6_batch3	0	0	0	0	0	1	0	0	0	0
C2BBE1311Cas9_Rep_A_p5_batch3	0	0	0	0	0	0	1	0	0	0
C2BBE1311Cas9_Rep_B_p5_batch3	0	0	0	0	0	0	1	0	0	0
C2BBE1311Cas9_Rep_C_p5_batch3	0	0	0	0	0	0	1	0	0	0
SW48311Cas9_RepA_p6_batch3	0	0	0	0	0	0	0	1	0	0
SW48311Cas9_RepB_p6_batch3	0	0	0	0	0	0	0	1	0	0
SW948311Cas9_RepB_p6_batch3	0	0	0	0	0	0	0	0	1	0
HT115Avana_4_Rep_A_p6_batch3	0	0	0	0	0	0	0	0	0	1
HT115Avana_4_Rep_B_p6_batch3	0	0	0	0	0	0	0	0	0	1
HT115Avana_4_Rep_C_p6_batch3	0	0	0	0	0	0	0	0	0	1
