"sgRNA","gene","plasmid","Essential_Number","Essential_Names"
"AARS_CCDS32474.1_ex18_16:70310945-70310968:-_5-5","AARS",291,1,HT29_c907
"ADD2_CCDS1906.1_ex12_2:70931458-70931481:+_5-3","ADD2",13,1,HT29_c907
"ALG1_CCDS10528.1_ex4_16:5127493-5127516:+_5-4","ALG1",13,3,c("HT29_c907", "HT29_c908", "SW626_c905")
"ANAPC11_CCDS11789.1_ex0_17:79852455-79852478:-_9-1","ANAPC11",360,1,HT29_c906
"ARL2BP_CCDS10776.1_ex2_16:57282537-57282560:-_5-2","ARL2BP",12,1,SW626_c905
"ATP2A2_CCDS9143.1_ex5_12:110760810-110760833:-_5-2","ATP2A2",93,2,c("HT29_c906", "HT29_c907")
"ATP6V0C_CCDS10470.1_ex1_16:2569235-2569258:+_5-2","ATP6V0C",423,1,HT29_c907
"ATP6V1D_CCDS9780.1_ex7_14:67819638-67819661:-_5-5","ATP6V1D",18,1,HT29_c908
"BBS10_CCDS9014.2_ex0_12:76740796-76740819:+_5-1","BBS10",21,1,SW626_c905
"BRF2_CCDS6098.1_ex3_8:37707146-37707169:-_5-5","BRF2",28,1,HT29_c908
"C12orf10_CCDS31810.1_ex0_12:53693679-53693702:+_5-3","C12orf10",10,1,HT29_c908
"C7orf73_CCDS55168.1_ex2_7:135358855-135358878:+_1-1","C7orf73",12,1,SW626_c905
"CCDC94_CCDS12124.1_ex2_19:4251032-4251055:+_5-2","CCDC94",164,1,HT29_c907
"CD47_CCDS43125.1_ex7_3:107799063-107799086:-_5-5","CD47",23,1,HT29_c907
"CDC23_CCDS4200.2_ex10_5:137536813-137536836:+_5-1","CDC23",216,1,HT29_c908
"CDC27_CCDS11509.1_ex13_17:45234603-45234626:-_5-3","CDC27",415,2,c("HT29_c906", "HT29_c907")
"CDK1_CCDS44408.1_ex4_10:62551732-62551755:-_5-5","CDK1",218,1,HT29_c907
"CENPM_CCDS14025.1_ex3_22:42341932-42341955:+_10-5","CENPM",187,2,c("HT29_c907", "HT29_c908")
"CHEK1_CCDS58191.1_ex3_11:125499296-125499319:+_5-3","CHEK1",119,1,HT29_c906
"COPB1_CCDS7815.1_ex19_11:14515872-14515895:+_5-5","COPB1",350,1,HT29_c907
"COPS2_CCDS32235.1_ex6_15:49426538-49426561:+_5-1","COPS2",145,1,HT29_c907
"COPS3_CCDS11183.1_ex6_17:17168169-17168192:-_5-3","COPS3",10,5,c("HT29_c905", "HT29_c906", "HT29_c907", "HT29_c908", "SW626_c905")
"CUL3_CCDS2462.1_ex13_2:225400243-225400266:-_5-5","CUL3",53,1,HT29_c906
"DARS_CCDS2180.1_ex5_2:136673855-136673878:+_5-1","DARS",57,1,HT29_c907
"DARS_CCDS2180.1_ex7_2:136680447-136680470:+_5-3","DARS",58,2,c("HT29_c906", "HT29_c907")
"DCTN5_CCDS10615.1_ex2_16:23669860-23669883:+_9-8","DCTN5",295,1,HT29_c907
"DDX3X_CCDS43931.1_ex7_X:41203018-41203041:-_5-4","DDX3X",118,1,HT29_c906
"DONSON_CCDS13632.1_ex5_21:34955901-34955924:+_5-1","DONSON",118,1,HT29_c906
"DUT_CCDS32231.1_ex2_15:48626619-48626642:+_7-3","DUT",201,1,HT29_c907
"EIF2B2_CCDS9836.1_ex2_14:75470265-75470288:+_5-3","EIF2B2",34,1,HT29_c907
"EIF2B3_CCDS517.1_ex8_1:45407252-45407275:+_5-3","EIF2B3",211,1,SW626_c905
"ETF1_CCDS4207.1_ex6_5:137849333-137849356:-_5-3","ETF1",99,1,HT29_c906
"GABRG2_CCDS4358.1_ex4_5:161528317-161528340:-_5-5","GABRG2",11,1,HT29_c907
"GRB7_CCDS11345.1_ex2_17:37899250-37899273:+_5-3","GRB7",28,1,HT29_c907
"HAUS1_CCDS11928.1_ex1_18:43685312-43685335:+_5-2","HAUS1",305,1,HT29_c907
"INTS6_CCDS41890.1_ex16_13:52026145-52026168:-_8-7","INTS6",249,1,SW626_c905
"IPO11_CCDS34167.1_ex2_5:61745804-61745827:+_5-3","IPO11",105,1,HT29_c907
"KIF11_CCDS7422.1_ex3_10:94366965-94366988:+_5-1","KIF11",85,1,HT29_c907
"KIN_CCDS7080.1_ex8_10:7820926-7820949:-_5-3","KIN",63,1,HT29_c907
"LIN9_CCDS1553.1_ex10_1:226475384-226475407:-_5-3","LIN9",41,1,HT29_c907
"LYSMD3_CCDS43338.1_ex1_5:89820891-89820914:-_5-3","LYSMD3",10,1,SW626_c905
"MAD2L1_CCDS3715.1_ex3_4:120986869-120986892:+_5-3","MAD2L1",261,1,HT29_c907
"MED10_CCDS34134.1_ex1_5:6374520-6374543:+_5-3","MED10",73,1,HT29_c907
"MED4_CCDS59241.1_ex2_13:48655826-48655849:-_5-3","MED4",50,2,c("HT29_c906", "HT29_c908")
"MED6_CCDS61483.1_ex3_14:71060067-71060090:+_5-3","MED6",59,2,c("HT29_c906", "HT29_c907")
"MED6_CCDS61483.1_ex5_14:71064368-71064391:-_5-5","MED6",31,1,SW626_c905
"MED7_CCDS4334.1_ex0_5:156566165-156566188:+_5-3","MED7",31,2,c("HT29_c906", "HT29_c908")
"MTBP_CCDS6333.1_ex10_8:121483080-121483103:-_5-4","MTBP",53,3,c("HT29_c907", "HT29_c908", "SW626_c905")
"NAA38_CCDS5775.1_ex2_7:117828427-117828450:+_4-4","NAA38",27,3,c("HT29_c906", "HT29_c907", "HT29_c908")
"NME5_CCDS4197.1_ex4_5:137474356-137474379:-_5-5","NME5",12,1,HT29_c908
"NSF_CCDS42354.1_ex10_17:44771270-44771293:+_5-5","NSF",117,2,c("HT29_c906", "HT29_c907")
"NUP88_CCDS11070.1_ex14_17:5317341-5317364:+_5-3","NUP88",278,1,HT29_c907
"NUTF2_CCDS10848.1_ex0_16:67899099-67899122:+_5-1","NUTF2",66,1,HT29_c907
"OPN1SW_CCDS5806.1_ex4_7:128415554-128415577:+_5-5","OPN1SW",11,1,HT29_c907
"ORC2_CCDS2334.1_ex6_2:201791565-201791588:-_5-2","ORC2",20,1,HT29_c907
"ORC6_CCDS10722.1_ex2_16:46726415-46726438:+_5-4","ORC6",166,2,c("HT29_c907", "SW626_c905")
"P2RX6_CCDS13788.2_ex3_22:21376995-21377018:+_5-3","P2RX6",13,1,SW626_c905
