"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"PTH2_CCDS12763.1_ex0_19:49925884-49925907:-_5-2","PTH2",-4.28294716619972,1.65603864564548,63.8241578679215,1.36035149397237e-15,1.2339612366674e-10
"RPS8_CCDS513.1_ex2_1:45242372-45242395:-_5-1","RPS8",-4.15420256515412,1.18942496615164,57.0825965337876,4.17887337846359e-14,1.89530712643527e-09
"HIST1H2AK_CCDS4632.1_ex0_6:27805983-27806006:-_5-4","HIST1H2AK",-3.36456047201363,2.10222213284755,54.9578280533124,1.23143939651467e-13,3.72342120728163e-09
"ABCE1_CCDS34071.1_ex3_4:146030281-146030304:+_5-3","ABCE1",-4.28014940996365,1.29311674328044,53.0906955761776,3.18497543138734e-13,7.22264841014286e-09
"HIST1H2AJ_CCDS4628.1_ex0_6:27782384-27782407:-_4-3","HIST1H2AJ",-3.58023884935805,2.47392448644306,51.6870330007593,6.50912268295039e-13,1.18087201889549e-08
"TUBA1C_CCDS8782.1_ex2_12:49663731-49663754:-_5-3","TUBA1C",-3.34104817516935,1.93995647005552,50.4416156235194,1.22763165194843e-12,1.85595399194318e-08
"SRP9_CCDS44323.1_ex2_1:225974567-225974590:+_4-2","SRP9",-5.47770497127707,0.596015157551564,49.4159747302153,2.07052718760902e-12,2.68307786658324e-08
"RGPD6_CCDS42729.1_ex10_2:111307151-111307174:-_1-1","RGPD6",-3.74168806875294,1.46933695585009,48.454858732081,3.37979893953682e-12,3.83222727508057e-08
"RPS3_CCDS58161.1_ex2_11:75112710-75112733:-_5-2","RPS3",-3.28762509553565,1.95246737694205,48.0147551286624,4.23023720875863e-12,4.26356207743651e-08
"RPL8_CCDS6433.1_ex4_8:146017403-146017426:-_5-5","RPL8",-3.67685859037982,1.26876831205488,47.2103006980448,6.37644635384788e-12,5.78401072311188e-08
"RPL37A_CCDS2404.1_ex2_2:217364689-217364712:+_4-3","RPL37A",-3.60825643254916,1.47040520503436,46.4266679131655,9.51121840912083e-12,7.36443938365808e-08
"IQCJ_CCDS46946.1_ex3_3:158980377-158980400:-_9-5","IQCJ",-4.05151781130844,0.895128578226572,46.2732088421162,1.02860870581306e-11,7.36443938365808e-08
"KAT8_CCDS10706.1_ex0_16:31129184-31129207:-_5-1","KAT8",-3.76871194505691,2.55539716097225,46.222759752987,1.05543785057222e-11,7.36443938365808e-08
"RPL15_CCDS2640.1_ex1_3:23959941-23959964:+_5-3","RPL15",-3.61484315944192,1.72455173206776,45.1836702415343,1.7939471778193e-11,1.13885773423614e-07
"PSMB2_CCDS394.1_ex2_1:36074935-36074958:+_5-2","PSMB2",-3.49437195025483,2.03893259455553,45.0885214801282,1.88326031744834e-11,1.13885773423614e-07
"HIST1H2BF_CCDS4592.1_ex0_6:26199935-26199958:-_3-1","HIST1H2BF",-3.41826630364025,1.98740274444194,44.8856746619689,2.08880428223989e-11,1.18420842273562e-07
"SF3A3_CCDS428.1_ex15_1:38455218-38455241:+_5-5","SF3A3",-3.7805771946686,1.68654857978845,44.3174347981371,2.79218361317952e-11,1.48985990216413e-07
"SPRR2G_CCDS30868.1_ex0_1:153122429-153122452:-_4-2","SPRR2G",-2.66419818490866,2.58015031057161,43.5893213439011,4.05043243655193e-11,2.04117042159549e-07
"HIST1H2BJ_CCDS4618.1_ex0_6:27100302-27100325:-_4-1","HIST1H2BJ",-4.26216815289644,0.909889601249361,43.2294382078335,4.86826875811698e-11,2.32418837252649e-07
"RPLP0_CCDS9193.1_ex4_12:120636986-120637009:-_5-4","RPLP0",-2.97683629052274,2.0679204683207,43.0955041450562,5.21319121300311e-11,2.3644168087015e-07
"HIST1H2BE_CCDS4588.1_ex0_6:26184161-26184184:+_3-2","HIST1H2BE",-5.37556352069917,0.712740307997441,42.9185596001506,5.70666903914324e-11,2.46498210415068e-07
"HIST1H2AL_CCDS4634.1_ex0_6:27833302-27833325:+_5-4","HIST1H2AL",-4.47038020258099,0.89378681728098,42.6029778815567,6.70572186154579e-11,2.67745425159036e-07
