"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"SRSF2_CCDS11749.1_ex1_17:74733047-74733070:+_5-4","SRSF2",-5.38824503558203,1.22262275772588,178.762522986542,9.02852482190107e-41,9.1269357424598e-36
"SNRNP200_CCDS2020.1_ex27_2:96957159-96957182:+_5-1","SNRNP200",-4.87372906862307,1.50674568591545,176.656890118595,2.60251916638795e-40,1.31544331265079e-35
"ISCU_CCDS44966.1_ex1_12:108958126-108958149:+_5-2","ISCU",-4.27951077882934,1.71329883189567,171.804971376787,2.98507066682482e-39,8.92668504784059e-35
"HIST1H2BE_CCDS4588.1_ex0_6:26184161-26184184:+_3-2","HIST1H2BE",-5.9244080165065,1.54478840197943,171.470319182312,3.53217332984097e-39,8.92668504784059e-35
"sgPOLR2J_7","POLR2J_LS",-4.41228282508795,2.95621781948209,156.748812235303,5.80815304503904e-36,7.6906501720945e-32
"sgPOLR2J2_5","POLR2J2_LS",-4.41228282508795,2.95621781948209,156.748812235303,5.80815304503904e-36,7.6906501720945e-32
"sgPOLR2J3_4","POLR2J3_LS",-4.41228282508795,2.95621781948209,156.748812235303,5.80815304503904e-36,7.6906501720945e-32
"PSMB5_CCDS45084.1_ex2_14:23502829-23502852:+_10-7","PSMB5",-4.75505595123411,1.34069947291636,156.655881685183,6.0861807673119e-36,7.6906501720945e-32
"sgPLK1_6","PLK1_LS",-5.87902394421181,0.60409766389146,153.185669522775,3.48895413669925e-35,3.91887081865475e-31
"sgSUPT7L_2","SUPT7L_LS",-4.34844104301893,1.30195829987621,149.935359645348,1.79097116927481e-34,1.81049275501991e-30
"sgPSMA1_3","PSMA1_LS",-5.05985797045575,1.03377037380864,147.03133059003,7.72471041086092e-34,7.09900886758118e-30
"PSMB6_CCDS11056.1_ex1_17:4700035-4700058:-_5-1","PSMB6",-4.34671291808599,1.5050230803434,145.986243919007,1.30721918454167e-33,1.10122322804432e-29
"RPL37A_CCDS2404.1_ex2_2:217364689-217364712:+_4-3","RPL37A",-4.49375591064244,1.43597550168458,145.680619387307,1.52462479050243e-33,1.1855716928607e-29
"PUF60_CCDS47933.1_ex5_8:144900425-144900448:+_5-4","PUF60",-6.55052593653378,1.03469511899053,145.005229727659,2.14199081737567e-33,1.54667036948933e-29
"HIST1H2BC_CCDS4584.1_ex0_6:26123971-26123994:-_4-3","HIST1H2BC",-5.78763004840314,1.15875707025426,144.226973460981,3.16932491045959e-33,2.1359137013224e-29
"PSMD8_CCDS12515.2_ex2_19:38867041-38867064:-_5-5","PSMD8",-4.83722606177515,1.05836695696848,143.110232322571,5.5606966485943e-33,3.45513240722729e-29
"HIST1H2BG_CCDS4594.1_ex0_6:26216710-26216733:-_5-3","HIST1H2BG",-5.45544228756641,0.670035899818249,143.022984698391,5.81039182143277e-33,3.45513240722729e-29
"sgSRSF2_4","SRSF2_LS",-7.21779157957765,-0.179623164013158,142.173787173286,8.91008690051753e-33,5.00400380429621e-29
"EIF2B4_CCDS33164.1_ex6_2:27590961-27590984:+_5-3","EIF2B4",-3.42195502453531,2.38274341189268,141.862435297049,1.04222316433726e-32,5.54517577278177e-29
"UBL5_CCDS12219.1_ex1_19:9939320-9939343:-_3-2","UBL5",-5.09416267073243,0.768318450299214,139.956196998718,2.721400483682e-32,1.37553187447707e-28
"sgSNRPD2_5","SNRPD2_LS",-5.12358196889975,0.990879913741256,138.537682085695,5.55904866991711e-32,2.67602014305677e-28
"sgPCNA_10","PCNA_LS",-4.64519213677299,1.32854919266269,137.427048066909,9.72512016139283e-32,4.46869271416e-28
"RPL8_CCDS6433.1_ex3_8:146017182-146017205:+_5-3","RPL8",-4.16888862809473,1.59901604583189,134.011693221486,5.43146389277613e-31,2.38724645617713e-27
"PSMB5_CCDS45084.1_ex2_14:23502847-23502870:-_10-8","PSMB5",-4.13334466484092,1.57688644399849,133.814809318664,5.99769464611772e-31,2.43419755671261e-27
"PSMB2_CCDS394.1_ex3_1:36096908-36096931:+_5-4","PSMB2",-3.85964853801749,1.63392430211446,133.769959783819,6.13472424406949e-31,2.43419755671261e-27
"sgPOLR2J3_7","POLR2J3_LS",-4.42317618364912,1.42885892056198,133.729612198699,6.26067231917378e-31,2.43419755671261e-27
"THOC2_CCDS43988.1_ex23_X:122778505-122778528:-_5-2","THOC2",-3.31680307697253,2.00659190456559,132.52767055204,1.14696823889399e-30,4.29433404702939e-27
"NUF2_CCDS1245.1_ex5_1:163307832-163307855:+_5-3","NUF2",-4.77850264388477,1.1518614207273,132.128514436804,1.40240193378175e-30,5.0631718387856e-27
"sgPLRG1_6","PLRG1_LS",-5.19508701961987,0.659490697474209,131.472214515624,1.95187358984126e-30,6.80396211024319e-27
"PSMB3_CCDS11328.1_ex2_17:36912198-36912221:+_5-4","PSMB3",-4.86289024089327,1.10703331088938,131.006879442536,2.46749648878282e-30,8.31464066836852e-27
"HNRNPC_CCDS41915.1_ex6_14:21702122-21702145:-_6-5","HNRNPC",-5.07610837356443,1.25983563666974,130.439532192672,3.28384743214971e-30,1.04709102243433e-26
"sgNHP2L1_7","NHP2L1_LS",-4.76930893922677,0.96275271110376,130.421051948532,3.31456254010274e-30,1.04709102243433e-26
"HCFC1_CCDS44020.1_ex25_X:153236130-153236153:-_5-5","HCFC1",-4.77521668866509,1.97500283791955,129.877306026288,4.35906077586935e-30,1.33532561767464e-26
"sgRPS5_4","RPS5_LS",-3.64423272112222,1.86281269641777,129.382399600204,5.59341703160336e-30,1.66305449330819e-26
"PRPF8_CCDS11010.1_ex30_17:1581846-1581869:-_5-4","PRPF8",-4.12999601029929,1.33573616654415,128.821281884351,7.42082298169719e-30,2.14334570062791e-26
"PSMB4_CCDS996.1_ex1_1:151372608-151372631:-_5-4","PSMB4",-5.35384258526704,0.930423754008267,128.600691312045,8.29314564351615e-30,2.32876136973069e-26
"RRM2_CCDS1669.1_ex2_2:10263587-10263610:-_5-2","RRM2",-5.45030312827645,0.589776992999782,128.312814083866,9.58761039170541e-30,2.61949063377703e-26
"CCT3_CCDS1140.2_ex8_1:156294799-156294822:-_5-4","CCT3",-4.33836425489954,1.43794640289394,127.308577055978,1.59022343558712e-29,4.23041281851322e-26
"HMGCS1_CCDS34154.1_ex7_5:43298204-43298227:+_5-3","HMGCS1",-4.5539896699539,0.87491860305122,127.111992283254,1.75580580274129e-29,4.55113868202863e-26
"sgPHF5A_10","PHF5A_LS",-5.1197440311828,0.852890755155676,126.721771107084,2.13731950195642e-29,5.38994780291781e-26
"sgPSMA1_1","PSMA1_LS",-4.29028905118877,1.06753170161996,126.677030696202,2.18605064714245e-29,5.38994780291781e-26
"LSM4_CCDS12374.1_ex2_19:18423469-18423492:-_6-6","LSM4",-4.09662235044977,1.23343165657746,126.411016518892,2.49962002340922e-29,6.01634733729613e-26
"U2AF2_CCDS12933.1_ex6_19:56174973-56174996:-_5-5","U2AF2",-4.94398217870296,1.53586252263414,126.091131938137,2.93682352069477e-29,6.90426720248917e-26
"EIF4A3_CCDS11767.1_ex9_17:78115629-78115652:-_5-3","EIF4A3",-4.442879345261,1.40350598940808,125.459321246365,4.03782887676267e-29,9.27691184436224e-26
